datetime,ipsrc,ipdst,proto,dstport,action,policyid,interface,interface_out
2026-03-03 09:00:00,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:59,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:58,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:57,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:56,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:55,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:54,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:53,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:52,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:51,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:50,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:49,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:48,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:47,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:46,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:45,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:43,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:42,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:41,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:40,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:39,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:38,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:37,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:36,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:35,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:34,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:33,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:32,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:31,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:30,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:29,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:28,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:27,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:26,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:25,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:24,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:23,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:22,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:21,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:20,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:19,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:18,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:17,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:16,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:15,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:14,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:13,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:12,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:11,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:10,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:09,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:08,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:07,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:06,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
2026-03-03 08:59:05,172.19.0.4,172.19.0.5,TCP,42220,DENY,34,eth0,(empty)
